Judul_Film,Tahun,Genre
Suamiku Lukaku,2026,Drama
Children of Heaven,2026,Anak-anak
Gudang Merica,2026,Horor
Keluarga Suami Adalah Hama,2026,Drama
Kamu Harus Mati,2026,Misteri
Silent Dance: Tarian Jiwa-jiwa yang Merdeka,2026,Drama
Semua Akan Baik-baik Saja,2026,Drama
Yang Lain Boleh Hilang Asal Kau Jangan,2026,Drama
Tumbal Proyek,2026,Horor
Crocodile Tears,2026,Drama
The Bell: Panggilan untuk Mati,2026,Horor
'Ain,2026,Horor
Shaka Oh Shaka,2026,Drama
Ikatan Darah,2026,Mendebarkan atau Menegangkan
Kupeluk Kamu Selamanya,2026,Drama
Dilan ITB 1997,2026,Drama
Songko,2026,Horor
Para Perasuk,2026,Drama
Kupilih Jalur Langit,2026,Drama
Tiba-tiba Setan,2026,Horor
Dalam Sujudku,2026,Drama
Ghost in the Cell,2026,Horor
Warung Pocong,2026,Horor
"Ayah, Ini Arahnya ke Mana, Ya?",2026,Keluarga
Yohanna,2026,Drama
The Hostage’s Hero,2026,Drama
Aku Harus Mati,2026,Horor
Senin Harga Naik,2026,Drama
Suzzanna: Santet Dosa di Atas Dosa,2026,Horor
Danur: the Last Chapter,2026,Horor
Na Willa,2026,Anak-anak
Pelangi di Mars,2026,Anak-anak
Tunggu Aku Sukses Nanti,2026,Keluarga
Setannya Cuan,2026,Horor
Setan Alas!,2026,Horor
Rajah,2026,Mendebarkan atau Menegangkan
Titip Bunda di Surga-Mu,2026,Drama
Lift,2026,Misteri
Asrama Putri,2026,Horor
"Antara Mama, Cinta, dan Surga: Bahasa Cinta Nommensen",2026,Drama
Taneuh Kalaknat,2026,Horor
Pocong Merah,2026,Horor
Waru,2026,Horor
Rumah Tanpa Cahaya,2026,Drama
Jangan Seperti Bapak,2026,Drama
AIU-EO Macam Betool Aja,2026,Drama
Andaikan Kau Datang Kembali,2026,Misteri
Sadali,2026,Drama
Balas Budi,2026,Drama
Check Out Sekarang Pay Later (Caper),2026,Drama
Teman Tegar Maira: Whisper from Papua,2026,Keluarga
Ahlan Singapore,2026,Drama
Mattaro Janci,2026,Drama
"Tuhan, Benarkah Kau Mendengarkan Aku?",2026,Drama
Kuyank: Saranjana the prequel,2026,Horor
Kafir: Gerbang Sukma,2026,Horor
Tolong Saya! (Dowajuseyo),2026,Horor
Surat Untuk Masa Mudaku,2026,Drama
Esok Tanpa Ibu,2026,Drama
Sebelum Dijemput Nenek,2026,Horor
Sengkolo: Petaka Satu Suro,2026,Horor
Mencadin 2: Tamu Mayit,2026,Horor
Penerbangan Terakhir,2026,Drama
Bidadari Surga,2026,Drama
Penunggu Rumah: Buto Ijo,2026,Horor
Alas Roban,2026,Horor
Lavender Marriage,2026,Drama
The Period of Her,2026,Drama
Uang Passolo,2026,Drama
Malam 3 Yasinan,2026,Horor
Suka Duka Tawa,2026,Drama
Musuh dalam Selimut,2026,Drama
Modual Nekad,2025,Drama
Dusun Mayit,2025,Horor
Janur Ireng: Sewu Dino the Prequel,2025,Horor
Comic 8 Revolution: Santet K4bin3t,2025,Horor
Patah Hati yang Kupilih,2025,Drama
Timur,2025,Drama
Mertua Ngeri Kali,2025,Drama
Mengejar Restu,2025,Religi
Qorin 2,2025,Horor
Mimpi Keluarga Sempurna,2025,Drama
Gelap Mata,2025,Mendebarkan atau Menegangkan
Lupa Daratan,2025,Drama
Nia,2025,Drama
Wasiat Warisan,2025,Drama
Ozora: Penganiayaan Brutal Penguasa Jaksel,2025,Mendebarkan atau Menegangkan
Riba,2025,Horor
Legenda Kelam Malin Kundang,2025,Mendebarkan atau Menegangkan
Air Mata Mualaf,2025,Religi
Agak Laen: Menyala Pantiku!,2025,Drama
Summa: Dendam Perempuan Sinting,2025,Horor
Keadilan,2025,Kejahatan
Leak 2: Jimat Dadong,2025,Horor
Danyang Wingit Jumat Kliwon,2025,Horor
…belum ada judul,2025,Drama
Tak Kenal Maka Taaruf,2025,Religi
Sampai Titik Terakhirmu,2025,Drama
Dopamin,2025,Drama
Pesugihan Sate Gagak,2025,Horor
Gara-gara Cicilan,2025,Drama
What's Up with Secretary Kim?,2025,Drama
Solata,2025,Drama
Kuncen,2025,Horor
Sosok Ketiga: Lintrik,2025,Horor
Pangku,2025,Drama
Pengin Hijrah,2025,Religi
Shutter,2025,Horor
Badik,2025,Drama
Si Paling Aktor,2025,Drama
Abadi Nan Jaya,2025,Horor
Tumbal Darah,2025,Horor
Maju Serem Mundur Horror,2025,Horor
Air Mata Di Ujung Sajadah 2,2025,Drama
Getih Ireng,2025,Horor
Menuju Pelaminan,2025,Drama
Jangan Panggil Mama Kafir,2025,Drama
Cristine: Tidak Seperti yang Kamu Lihat,2025,Horor
Jembatan Shiratal Mustaqim,2025,Horor
Yakin Nikah,2025,Drama
Di Balik Pintu Kematian,2025,Horor
Rangga & Cinta,2025,Percintaan
Tukar Takdir,2025,Drama
Rest Area,2025,Horor
Kang Solah: from Kang Mak x Nenek Gayung,2025,Horor
"Dilanjutkan Salah, Disudahi Perih",2025,Drama
Dia Bukan Ibu,2025,Horor
Janji Senja: Sagu Salempeng Bagi Dua,2025,Drama
Maryam: Janji dan Jiwa yang Terikat,2025,Horor
Jadi Tuh Barang,2025,Drama
Perempuan Pembawa Sial,2025,Horor
Lintrik: Ilmu Pemikat,2025,Horor
Mama: Pesan dari Neraka,2025,Horor
Cahaya untuk Ibu,2025,Drama
Gereja Setan,2025,Horor
Sukma,2025,Horor
Andai Ibu Tidak Menikah dengan Ayah,2025,Drama
Menjelang Magrib 2: Wanita yang Dirantai,2025,Horor
Agape: the Unconditional Love,2025,Drama
Siapa Dia,2025,Musikal atau Tari
Pencarian Terakhir,2025,Misteri
Panji Tengkorak,2025,Drama
Lebih dari Selamanya,2025,Percintaan
Cinta Pertamaku,2025,Drama
Labinak: Mereka Ada di Sini,2025,Horor
Hanya Namamu dalam Doaku,2025,Drama
The Sun Gazer: Cinta dari Langit,2025,Religi
Darah Nyai,2025,Horor
Panggilan dari Kubur,2025,Horor
Tinggal Meninggal,2025,Drama
"La Tahzan: Cinta, Dosa, Luka…",2025,Percintaan
Merah Putih: One For All,2025,Anak-anak
Sebelum Senja Berakhir,2025,Drama
Pamali: Tumbal,2025,Horor
Lyora: Penantian Buah Hati,2025,Dokudrama
Panggil Aku Ayah,2025,Keluarga
Jam Pasir Ajaib,2025,Fantasi
Ketika Hantu Yatim Piatu,2025,Horor
Sihir Pelakor,2025,Horor
Bertaut Rindu: Semua Impian Berhak Dirayakan,2025,Remaja
Rego Nyowo,2025,Horor
Kampung Jabang Mayit,2025,Horor
Doti: Tumbal Ilmu Hitam,2025,Horor
"Believe: Takdir, Mimpi, Keberanian",2025,Perang
Gak Nyangka..!!,2025,Komedi
A Normal Woman,2025,Misteri
Assalamu’alaikum Baitullah,2025,Religi
Arti Cinta,2025,Musikal atau Tari
Gerbang Setan,2025,Horor
Cyberbullying,2025,Remaja
Kitab Sijjin & Illiyyin,2025,Horor
Gamophobia,2025,Drama
Yang Tersisa Hanya Cinta,2025,Drama
Orang Ikan,2025,Monster
Selepas Tahlil,2025,Horor
Sore: Istri dari Masa Depan,2025,Drama
Hotel Sakura,2025,Horor
Selasih Ireng,2025,Horor
Karunrung 1995,2025,Horor
Agen +62: Semua Bisa Jadi Agen,2025,Komedi
Narik Sukmo,2025,Horor
Seribu Bayang Purnama,2025,Drama
Arwah,2025,Horor
Lorong Kost,2025,Horor
Rabi Jiwo,2025,Horor
Warkop DKI Kartun,2025,Drama
Jodoh 3 Bujang,2025,Drama
Malam Jahanam,2025,Horor
Angel Pol,2025,Drama
Assalamualaikum Beijing 2: Lost in Ningxia,2025,Drama
Syirik: Danyang Laut Selatan,2025,Horor
Jalan Pulang,2025,Misteri
Hayya 3: Gaza,2025,Drama
Keluarga Super Irit,2025,Komedi
GJLS: Ibuku Ibu-Ibu,2025,Komedi
Senyum Manies Love Story,2025,Drama
The Dark House,2025,Mendebarkan atau Menegangkan
Sarung untuk Bapak,2025,Drama
Ruang Rahasia Ibu,2025,Drama
Gowok: Kamasutra Jawa Uncut,2025,Drama
"Sampai Jumpa, Selamat Tinggal",2025,Drama
Tenung by Saraswati & Dimasta,2025,Horor
Tak Ingin Usai di Sini,2025,Drama
Basement: Jangan Turun ke Bawah,2025,Horor
Gowok: Kamasutra Jawa,2025,Drama
Love Therapy,2025,Drama
Waktu Maghrib 2,2025,Horor
Dendam Malam Kelam,2025,Mendebarkan atau Menegangkan
Insya Allah Berkah,2025,Drama
Gundik,2025,Horor
Angkara Murka,2025,Misteri
Dasim,2025,Religi
Godaan Setan yang Terkutuk,2025,Horor
Cocote Tonggo,2025,Drama
Mungkin Kita Perlu Waktu,2025,Drama
Rannu: Cinta Bugis-Makassar,2025,Drama
Tabayyun,2025,Drama
Sayap-sayap Patah 2: Olivia,2025,Drama
Parah Bener,2025,Komedi
Pembantaian Dukun Santet,2025,Horor
Perang Kota,2025,Drama
Mendadak Dangdut,2025,Drama
Penjagal Iblis: Dosa Turunan,2025,Horor
Mangku Pocong,2025,Horor
Sah! Katanya...,2025,Drama
Anak Medan: Cocok Ko Rasa???,2025,Drama
Pengepungan di Bukit Duri,2025,Drama
Rumah untuk Alie,2025,Drama
Korban Jatuh Tempo: Pinjol,2025,Drama
Muslihat,2025,Horor
Pinjam 100 the Movie,2025,Drama
Dendam dalam Dosa,2025,Horor
Setetes Embun Cinta Niyala,2025,Drama
Norma: Antara Mertua dan Menantu,2025,Drama
Qodrat 2,2025,Horor
Komang,2025,Drama
Pabrik Gula,2025,Horor
Jumbo,2025,Fantasi
Pabrik Gula (Uncut),2025,Horor
Misteri Bilik Korek Api,2025,Horor
Surga di Telapak Kaki Bapak,2025,Drama
Doa-doa di Atas Kepala,2025,Drama
Keluarga Besar,2025,Drama
Bunga Semerah Darah,2025,Drama
Mimpi Matahari,2025,Drama
Bukan Jodoh Biasa Nih,2025,Komedi
Uwentira: Kota Jin,2025,Horor
Samar,2025,Horor
Singsot: Siulan Kematian,2025,Horor
Arwah Sinden,2025,Horor
Desa Mati the Movie,2025,Horor
Jabang Mayit,2025,Horor
Setan Botak di Jembatan Ancol,2025,Horor
Misteri Rumah Darah,2025,Horor
Jagal Teluh,2025,Horor
Iblis dalam Kandungan 2: Deception,2025,Horor
Samawa,2025,Drama
Pernikahan Arwah,2025,Horor
Made in Bali,2025,Drama
Anak Kunti,2025,Horor
Rahasia Rasa,2025,Drama
Berebut Jenazah,2025,Drama
Telepon yang Tak Pernah Berdering,2025,Drama
The Most Beautiful Girl in the World,2025,Percintaan
Kampung Keramat,2025,Horor
Pintu Pintu Surga,2025,Drama
Cinta Tak Pernah Tepat Waktu,2025,Drama
Rumah Teteh: Story of Helena,2025,Horor
Coto vs Konro,2025,Drama
A Business Proposal,2025,Drama
Pulung Gantung: Pati Ngendat,2025,Horor
Psykopat,2025,Horor
Petaka Gunung Gede,2025,Horor
Misteri Cek Khodam,2025,Horor
Pengantin Iblis,2025,Horor
Perayaan Mati Rasa,2025,Drama
Lagu Cinta untuk Mama,2025,Drama
Tujuh Hari Untuk Keshia,2025,Drama
Semusim Setelah Kemarau,2025,Drama
Keajaiban Air Mata Wanita,2025,Drama
1 Kakak 7 Ponakan,2025,Drama
Sebelum 7 Hari,2025,Horor
Mama: Kasih yang Tak Pernah Mati,2025,Horor
1 Coto 5 Ketupat,2025,Drama
Bayang-Bayang Anak Jahanam,2025,Horor
Eva: Pendakian Terakhir,2025,Horor
1 Imam 2 Makmum,2025,Drama
Pengantin Setan,2025,Horor
Ketindihan,2025,Horor
Elang,2025,Drama
Almarhum,2025,Horor
Ambyar Mak Byar,2025,Musikal atau Tari
Zanna: Whisper of Volcano Isle,2025,Fantasi
Utusan Iblis: Dia yang Berada di Antara Kita,2025,Horor
Ajian Maut,2025,Horor
Panggonan Wingit 2:  Miss K,2024,Horor
2nd Miracle in Cell No 7,2024,Keluarga
Modal Nekad,2024,Drama
Sorop,2024,Horor
Sun Tree,2024,Drama
Senyum Merah Putih,2024,Drama
Hutang Nyawa,2024,Horor
Racun Sangga: Santet Pemisah Rumah Tangga,2024,Horor
Melukis Harapan di Langit India,2024,Drama
Malam Pertobatan,2024,Drama
Sampai Nanti Hanna!,2024,Drama
Terkutuk,2024,Horor
Cinta Tak Seindah Drama Korea,2024,Drama
Konco-Konco Edan,2024,Horor
Guna Guna Istri Muda,2024,Horor
Negeri Para Ketua,2024,Drama
Mariara: Perjamuan Maut,2024,Horor
Cinta dalam Ikhlas,2024,Drama
Pantaskah Aku Berhijab,2024,Drama
Hidup ini Terlalu Banyak Kamu,2024,Drama
Petak Umpet,2024,Horor
Cross Road,2024,Horor
Dewi,2024,Drama
Wanita Ahli Neraka,2024,Religi
Bila Esok Ibu Tiada,2024,Keluarga
Puang Bos,2024,Drama
Danyang: Mahar Tukar Nyawa,2024,Horor
Santet Segoro Pitu,2024,Horor
Anak Kolong,2024,Drama
"Aku Jati, Aku Asperger",2024,Drama
Koma: Berhenti Sebelum Mati,2024,Misteri
Dosa Musyrik,2024,Horor
My Annoying Brother,2024,Drama
Sang Pengadil,2024,Drama
Perewangan,2024,Horor
Winter Elegy,2024,Drama
Tebusan Dosa,2024,Misteri
Bolehkah Sekali Saja Kumenangis,2024,Drama
Putri Bintang Lima,2024,Drama
The Shadow Strays,2024,Kejahatan
Startup Never Give Up,2024,Komedi
Kemah Terlarang: Kesurupan Massal,2024,Horor
Pulau Hantu,2024,Horor
Kuasa Gelap,2024,Horor
Laut Tengah,2024,Drama
Kutukan Calon Arang,2024,Horor
Sumala,2024,Horor
Tulang Belulang Tulang,2024,Perjalanan
Home Sweet Loan,2024,Drama
Kupu-Kupu Kertas,2024,Drama
Lembayung,2024,Mendebarkan atau Menegangkan
The Torture: Beranak dalam Kubur,2024,Horor
Roman Peony,2024,Drama
Dul Muluk Dul Malik,2024,Horor
Laura,2024,Drama
Malam Keramat,2024,Horor
Seni Memahami Kekasih,2024,Drama
Perjanjian Setan,2024,Horor
Cinta Dari Timor,2024,Drama
Marbot,2024,Drama
Kaka Boss,2024,Drama
Thaghut,2024,Mendebarkan atau Menegangkan
Janda,2024,Drama
Azzamine,2024,Drama
Kromoleo,2024,Horor
Dosen Ghaib: Sudah Malam atau Sudah Tahu,2024,Horor
Kang Mak: from Pee Mak,2024,Horor
Lokananta,2024,Drama
Uang Panai 2: Maha(r)l,2024,Komedi
Rumah Dinas Bapak,2024,Horor
Sakaratul Maut,2024,Horor
Kabut Berduri,2024,Misteri
Juara Sejati,2024,Anak-anak
Heartbreak Motel,2024,Drama
All Access To Rossa 25 Shining Years,2024,Biografi
Romeo Ingkar Janji,2024,Drama
Bangsal Isolasi,2024,Horor
Pusaka,2024,Horor
Catatan Harian Menantu Sinting,2024,Drama
Jurnal Risa by Risa Saraswati,2024,Horor
Mungkin Esok Lusa atau Nanti,2024,Drama
Ajian Kemat Jaran Guyang,2024,Horor
Harta Tahta Boru Ni Raja,2024,Drama
Janji Darah,2024,Horor
Sekawan Limo,2024,Horor
Si Juki the Movie: Harta Pulau Monyet,2024,Petualangan
Marni: The Story of Wewe Gombel,2024,Horor
Algrafi,2024,Drama
Lafran,2024,Biografi
Sengkolo: Malam Satu Suro,2024,Horor
Cek Ombak (Lagi),2024,Drama
Cinta Kiblat,2024,Drama
Dilan 1983: Wo Ai Ni,2024,Drama
Ipar Adalah Maut,2024,Drama
Dinda,2024,Drama
Harta Tahta Raisa,2024,Musikal atau Tari
Saat Menghadap Tuhan,2024,Drama
Paku Tanah Jawa,2024,Horor
Mawang: Jangan Sebut Namanya,2024,Horor
Temurun,2024,Horor
Taksu Bali: Leak Ugig,2024,Horor
Ayo Balikan,2024,Drama
Malam Pencabut Nyawa,2024,Horor
Tuhan Izinkan Aku Berdosa,2024,Drama
Do You See What I See,2024,Horor
Monster,2024,Mendebarkan atau Menegangkan
Samsara,2024,Drama
Vina: Sebelum 7 Hari,2024,Horor
Possession: Kerasukan,2024,Horor
Mencadin: Dendam Pocong,2024,Horor
The Architecture of Love,2024,Drama
Menjelang Ajal,2024,Horor
Glenn Fredly the Movie,2024,Biografi
Dua Hati Biru,2024,Drama
Badarawuhi di Desa Penari,2024,Horor
Siksa Kubur,2024,Horor
Mukidi,2024,Komedi
Demi Si Buah Hati,2024,Drama
Sujud Terakhir Bapak,2024,Drama
Ronggeng Kematian,2024,Horor
Keluar Main 1994,2024,Komedi
Para Betina Pengikut Iblis 2,2024,Horor
Jayaprana Layonsari,2024,Drama
Kereta,2024,Drama
Kukejar Mimpi,2024,Remaja
Botting (Pengantin),2024,Misteri
Dua Surga Dalam Cintaku,2024,Drama
Kurban: Budak Iblis,2024,Mendebarkan atau Menegangkan
Hantu Polong,2024,Horor
Bad Boy in Love,2024,Drama
Tanduk Setan,2024,Horor
1 CM: Pasukan Merah Putih,2024,Drama
Kartolo Numpak Terang Bulan,2024,Komedi
24 Jam Bersama Gaspar,2023,Distopia
Titip Surat untuk Tuhan,2024,Drama
Kuyang: Sekutu Iblis yang Selalu Mengintai,2024,Horor
Perjalanan Pembuktian Cinta,2024,Drama
Siri Na Pacce,2024,Drama
Mendung Tanpo Udan,2024,Drama
Pasar Setan,2024,Mendebarkan atau Menegangkan
Bonnie,2024,Laga
Pemandi Jenazah,2024,Horor
Melodate,2024,Percintaan
Dealova,2024,Remaja
Women From Rote Island,2023,Drama
Sinden Gaib,2024,Horor
Asmara di Sekolah,2024,Remaja
Ritual: Tumbal Terakhir,2024,Mendebarkan atau Menegangkan
Ali Topan,2024,Drama
Indonesia dari Timur,2024,Olah raga
Lampir,2024,Horor
La Galigo,2024,Drama
Pasutri Gaje,2024,Drama
Munkar,2024,Horor
Eksil,2024,
Agak Laen,2024,Horor
Kereta Berdarah,2024,Horor
Melukis Luka,2024,Drama
Pemukiman Setan,2024,Horor
#OOTD: Outfit of The Designer,2024,Drama
Setengah Hati,2024,Drama
Bu Tejo Sowan Jakarta,2024,Drama
Petualangan Anak Penangkap Hantu,2024,Horor
Rambut Kafan,2024,Horor
Pulang Tak Harus Rumah,2024,Drama
Sehidup Semati,2024,Mendebarkan atau Menegangkan
Ancika: Dia yang Bersamaku 1995,2024,Drama
Clekontong Mas the Movie : Nyi Rimbit,2024,Horor
Mosonggi,2024,Drama
Trinil: Kembalikan Tubuhku,2024,Horor
Suami yang Lain,2024,Drama
Diwe: Hutan Larangan,2024,Horor
Koridor,2023,Drama
13 Bom di Jakarta,2023,Laga
Hamka & Siti Raham vol 2,2023,Biografi
Layangan Putus the Movie,2023,Drama
Bardion: Director's Cut,2023,Fiksi ilmiah
Siksa Neraka,2023,Fantasi
Kapan Hamil?,2023,Percintaan
Malam Para Jahanam,2023,Horor
Rumah Masa Depan,2023,Drama
Jatuh Cinta Seperti di Film-film,2023,Drama
Panggonan Wingit,2023,Horor
Srimulat: Hidup Memang Komedi,2023,Biografi
Rumah Iblis,2023,Horor
172 Days,2023,Drama
Gampang Cuan,2023,Drama
Perjamuan Iblis,2023,Horor
Sijjin,2023,Horor
Aku Rindu,2023,Drama
Budi Pekerti,2023,Drama
Nona Manis Sayange,2023,Drama
Kultus Iblis,2023,Horor
Wakaf,2023,Horor
Saranjana: Kota Ghaib,2023,Horor
Mohon Doa Restu,2023,Drama
One Big Sumba Family,2023,
Imam Tanpa Makmum,2023,Drama
Indigo,2023,Horor
Janin Iblis Neraka,2023,Horor
Pamali: Dusun Pocong,2023,Horor
Teori Cakrawala,2023,Drama
Bangku Kosong: Ujian Terakhir,2023,Horor
Bangsatnya Cinta Pertama,2023,Drama
Di Ambang Kematian,2023,Horor
Petualangan Sherina 2,2023,Musikal atau Tari
Mayflies,2023,Drama
Kisah Tanah Jawa: Pocong Gundul,2023,Horor
Satu Hari dengan Ibu,2023,Keluarga
Invalidite,2023,Drama
Aku Tahu Kapan Kamu Mati: Desa Bunuh Diri,2023,Horor
Jomblo Fi Sabilillah,2023,Drama
Orpa,2023,Drama
Air Mata di Ujung Sajadah,2023,Drama
Sleep Call,2023,Mendebarkan atau Menegangkan
Susuk: Kutukan Kecantikan,2023,Horor
Puspa Indah Taman Hati,2023,Remaja
Mappacci - Malam Pacar,2023,Drama
Galaksi,2023,Drama
Siska The Movie,2023,Drama
"Yang Patah Tumbuh, Yang Hilang Berganti",2023,Drama
After Life,2023,Drama
Catatan Si Boy,2023,Drama
Lantai 4,2023,Horor
Primbon,2023,Horor
Dear Jo: Almost Is Never Enough,2023,Drama
Suzzanna: Malam Jumat Kliwon,2023,Horor
Dunia Tanpa Suara,2023,Drama
Hari Ini Akan Kita Ceritakan Nanti,2023,Drama
Ketika Berhenti di Sini,2023,Drama
Mantra Surugana,2023,Horor
Kutukan Peti Mati,2023,Horor
